(12.5383,0)
(4.37228,0)
(16.5571,0)
(15.8464,0)
(12.429,0)
(4.09582,0)
(16.0958,0)
(15.2604,0)
(13.1741,0)
(4.72458,0)
(14.9103,0)
(14.7281,0)
(12.4365,0)
(5.7816,0)
(13.8395,0)
(14.7381,0)
(11.9215,0)
(6.20586,0)
(13.8865,0)
(14.0894,0)
(12.4853,0)
(5.80738,0)
(14.5284,0)
(14.4942,0)
(13.4189,0)
(5.57075,0)
(15.4157,0)
(13.5916,0)
(13.5887,0)
(4.68578,0)
(15.4525,0)
(14.5776,0)
(13.2224,0)
(4.82843,0)
(14.6241,0)
(15.1722,0)
(11.8857,0)
(4.70156,0)
(15.0454,0)
(15.0583,0)
(11.2056,0)
(4.15633,0)
(15.7301,0)
(14.6195,0)
(12.1567,0)
(3.56155,0)
(15.4048,0)
(15.1278,0)
(11.6339,0)
(4.72458,0)
(15.5883,0)
(15.773,0)
(11.059,0)
(4.96737,0)
(15.4954,0)
(16.6682,0)
(11.6793,0)
(4.72458,0)
(14.7078,0)
(15.7893,0)
(12.2637,0)
(4.93394,0)
(14.0998,0)
(14.8968,0)
(12.4339,0)
(4.08906,0)
(15.0857,0)
(16.388,0)
(12.7472,0)
(2.73205,0)
(14.822,0)
(16.0568,0)
(12.8916,0)
(3.56155,0)
(13.8447,0)
(16.0375,0)
(13.4158,0)
(2.81361,0)
(14.6993,0)
(16.0603,0)
(14.0902,0)
(2.81361,0)
(15.0115,0)
(15.6761,0)
(13.4181,0)
(2.81361,0)
(13.8655,0)
(15.2725,0)
(12.8701,0)
(3,0)
(14.69,0)
(15.2226,0)
(13.1471,0)
(3.41421,0)
(14.5678,0)
(15.8114,0)
(13.5727,0)
(3.11491,0)
(14.9625,0)
(15.7907,0)
(13.9346,0)
(3.33006,0)
(13.88,0)
(14.5949,0)
(13.2662,0)
(4.37228,0)
(14.2629,0)
(15.3179,0)
(13.0422,0)
(3.33006,0)
(14.9519,0)
(15.2439,0)
(13.8382,0)
(3.33006,0)
(15.1229,0)
(13.9798,0)
(14.3026,0)
(2.61803,0)
(16.3893,0)
(14.7307,0)
(15.2884,0)
(2,0)
(16.3181,0)
(14.2018,0)
(15.2884,0)
(2,0)
(15.8815,0)
(14.021,0)
(14.6523,0)
(3.41421,0)
(16.3298,0)
(14.5956,0)
(14.7212,0)
(2.61803,0)
(15.6526,0)
(14.1707,0)
(13.996,0)
(2.88888,0)
(15.2808,0)
(13.5693,0)
(13.553,0)
(4.4425,0)
(15.1047,0)
(13.7548,0)
(12.3872,0)
(4.30278,0)
(14.6169,0)
(14.7241,0)
(12.5033,0)
(5.23607,0)
(14.2734,0)
(14.7712,0)
(12.0223,0)
(7.16228,0)
(13.6787,0)
(14.7175,0)
(12.3278,0)
(6.70156,0)
(15.0139,0)
(14.4369,0)
(13.2696,0)
(6.16228,0)
(15.6142,0)
(14.1858,0)
(15.7467,0)
(6.16228,0)
(14.7764,0)
(14.2649,0)
(15.8745,0)
(5.19258,0)
(15.1929,0)
(15.4777,0)
(16.2228,0)
(5.19258,0)
(15.3274,0)
(14.9118,0)
(15.0809,0)
(5.19258,0)
(16.0154,0)
(14.3355,0)
(15.0765,0)
(3.30278,0)
(14.6961,0)
(14.2557,0)
(14.5906,0)
(3,0)
(15.4046,0)
(14.4497,0)
(13.4444,0)
(2.6717,0)
(15.0149,0)
(14.5273,0)
(11.6699,0)
(3.62892,0)
(15.1974,0)
(14.813,0)
(10.4002,0)
(3.61803,0)
(14.5393,0)
(14.7026,0)
(9.74835,0)
(3.59126,0)
(14.0079,0)
(15.1832,0)
(8.98201,0)
(3.60168,0)
(12.6696,0)
(15.5213,0)
(7.96219,0)
(4.40218,0)
(11.9972,0)
(15.4347,0)
(8.11347,0)
(4.80468,0)
(12.243,0)
(13.798,0)
(8.09082,0)
(4.79981,0)
(11.312,0)
(15.5263,0)
(8.67339,0)
(4.44121,0)
(11.7549,0)
(16.4798,0)
(9.88091,0)
(4.41041,0)
(12.9018,0)
(15.5528,0)
(9.92546,0)
(4.07137,0)
(11.202,0)
(15.4916,0)
(10.572,0)
(4.54138,0)
(11.558,0)
(14.605,0)
(10.3025,0)
(6.16926,0)
(10.857,0)
(13.0986,0)
(10.8294,0)
(6.81158,0)
(7.4074,0)
(14.0885,0)
(8.62186,0)
(9.9237,0)
(7.73802,0)
(14.2185,0)
(6.74267,0)
(11.2559,0)
(8.09319,0)
(14.6022,0)
(6.09257,0)
(14.2713,0)
(5.67839,0)
(14.0238,0)
(6.38983,0)
(14.1962,0)
(6.42931,0)
(16.2696,0)
(5.19852,0)
